column_index_size_in_kb,commitlog_sync_period_in_ms,compaction_throughput_mb_per_sec,in_memory_compaction_limit_in_mb,memtable_flush_queue_size,reduce_cache_capacity_to,reduce_cache_sizes_at,commitlog_segment_size_in_mb,compaction_preheat_key_cache,multithreaded_compaction,commitlog_sync,Throughput
59,14185,18,48,6,0.3,0.05,8,false,true,periodic,10152.284263959391
99,15250,28,127,8,0.5,0.85,32,true,true,periodic,8156.606851549755
85,17727,32,40,6,0.1,0.08,8,false,true,periodic,7645.25993883792
93,19023,30,78,5,0.3,0.37,32,false,true,periodic,7570.02271006813
84,16193,19,101,6,0.9,0.32,8,false,false,batch,6596.306068601583
84,14911,17,70,5,0.7,0.46,16,false,true,periodic,9832.84169124877
114,12241,32,56,7,0.2,0.55,16,true,true,periodic,8810.572687224669
73,17250,23,95,5,0.8,0.64,8,false,true,batch,7898.894154818326
126,14532,18,122,6,0.5,0.27,8,false,true,periodic,8130.081300813008
62,19250,24,60,6,0.7,0.25,16,true,true,batch,4454.342984409799
127,15590,30,71,4,0.1,0.57,32,true,true,periodic,5175.983436853002
110,16831,17,66,7,0.5,0.11,32,false,false,periodic,9560.229445506691
108,16251,23,108,4,0.3,0.1,8,false,true,periodic,7867.820613690008
97,17272,18,40,4,0.5,0.07,32,true,false,batch,6518.90482398957
71,16846,18,102,7,0.4,0.29,8,false,false,periodic,9009.009009009009
42,18714,28,61,6,0.7,0.98,32,true,false,batch,6497.72579597141
78,17624,32,46,6,0.7,0.84,16,false,true,batch,5980.861244019139
110,16013,28,68,5,0.9,0.38,32,true,true,periodic,9208.103130755064
110,11308,20,64,6,0.6,0.99,8,true,false,periodic,9107.468123861567
71,17260,16,95,6,0.8,0.62,8,true,false,batch,6485.08430609598
82,15793,17,61,4,0.6,0.4,8,false,true,periodic,8960.57347670251
57,19311,27,74,6,0.7,0.84,16,false,false,periodic,9057.971014492754
61,16480,18,67,4,0.8,0.79,16,true,true,periodic,8826.1253309797
79,14900,31,127,6,0.7,0.66,32,false,false,batch,6825.938566552901
107,19669,19,126,7,0.7,0.97,8,true,false,batch,6973.5006973500695
114,16297,29,63,4,0.5,0.07,32,true,true,periodic,6402.048655569783
121,12396,23,128,6,0.1,0.08,32,false,true,batch,7692.307692307692
125,11304,19,54,7,0.3,0.99,16,false,false,periodic,8354.21888053467
79,17589,32,45,7,0.9,0.71,8,false,true,batch,7336.757153338224
37,15414,17,82,5,1.0,0.66,16,false,true,periodic,8826.1253309797
62,12463,30,77,5,0.0,0.2,8,false,false,periodic,8748.906386701663
88,10459,24,60,4,0.8,0.39,8,false,false,periodic,8733.624454148472
103,17300,27,42,8,0.2,0.04,32,true,false,batch,6410.25641025641
66,10639,25,125,4,0.9,0.59,32,true,false,batch,8257.638315441784
42,18498,29,51,8,0.6,0.0,16,false,false,batch,6165.228113440197
101,16165,28,125,7,0.5,0.75,32,true,false,batch,6939.625260235947
70,14112,26,100,5,1.0,0.4,16,false,true,batch,6915.629322268326
81,16480,26,44,6,1.0,0.28,32,true,false,periodic,8354.21888053467
124,13769,22,80,7,0.3,0.56,32,false,true,batch,6406.149903907752
73,10707,23,102,6,0.8,0.63,32,true,false,batch,6626.905235255136
37,13259,24,70,8,0.5,0.73,32,true,false,batch,7077.140835102618
110,11590,28,93,7,0.9,0.19,32,false,false,periodic,8237.232289950576
120,15596,31,87,4,0.6,0.94,8,true,false,periodic,12562.814070351758
120,19591,32,110,6,0.7,0.38,8,false,false,periodic,10482.180293501047
56,17650,21,49,7,0.9,0.27,32,true,true,periodic,8880.994671403198
61,16477,23,85,7,0.5,0.55,32,true,false,periodic,8748.906386701663
99,11364,32,32,7,0.7,0.49,8,false,true,periodic,9124.087591240876
85,11454,21,62,6,0.4,0.86,16,false,true,periodic,9250.693802035152
112,17387,18,53,7,0.5,0.86,8,true,false,batch,6518.90482398957
128,12232,26,109,6,0.1,0.91,8,false,false,batch,5313.496280552604
82,10136,16,62,6,0.2,0.98,8,true,false,periodic,9372.071227741331
47,16159,20,89,5,0.2,0.73,32,true,true,periodic,10193.67991845056
122,11239,31,123,7,0.4,0.02,8,true,true,batch,6293.266205160478
116,18327,30,73,6,0.2,0.03,16,false,true,batch,5773.6720554272515
34,15945,17,92,4,0.1,0.76,8,false,false,periodic,10706.638115631691
101,10395,17,52,8,0.7,0.17,8,false,true,periodic,8431.703204047217
34,15543,21,116,5,0.2,0.64,32,true,false,batch,6901.311249137336
43,16737,26,99,5,0.3,0.1,32,true,true,periodic,10604.453870625663
87,14073,18,65,7,0.3,0.22,32,false,false,periodic,7733.952049497293
67,19851,22,51,7,1.0,0.91,16,false,false,periodic,9803.921568627451
36,11254,22,44,4,0.5,0.72,16,false,true,periodic,9416.195856873823
76,13721,16,74,8,1.0,0.77,8,true,true,batch,6293.266205160478
33,17269,29,60,8,0.5,0.19,32,true,false,batch,5154.639175257732
127,16525,32,125,4,0.2,0.69,16,false,true,periodic,8291.873963515754
104,13646,18,52,5,0.3,0.34,8,false,false,periodic,7917.656373713381
60,15157,17,113,6,0.1,0.6,8,false,true,periodic,7320.644216691069
94,17045,28,68,4,0.1,0.4,8,false,false,batch,6527.415143603133
67,17175,29,67,7,0.5,0.88,16,false,true,batch,6816.632583503749
95,17668,32,121,5,0.4,0.82,16,true,false,periodic,9727.626459143969
56,18144,28,81,4,0.5,0.9,32,false,false,batch,6657.789613848202
122,11220,31,40,5,1.0,0.63,32,true,true,batch,6747.638326585695
114,11199,32,93,8,0.4,0.53,32,true,false,periodic,8389.261744966443
81,16455,30,55,7,0.4,0.93,32,false,true,periodic,9425.07068803016
124,17524,31,62,6,0.0,0.43,16,true,false,batch,3142.6775612822125
76,19487,20,66,6,0.7,0.62,32,true,false,periodic,8888.888888888889
57,17339,24,118,4,0.8,0.87,8,true,false,periodic,7204.610951008645
123,14331,23,119,4,0.8,0.06,32,true,false,batch,7680.491551459293
83,13954,32,92,4,0.2,0.69,8,true,false,batch,6958.942240779402
72,14249,30,107,7,0.4,0.63,8,true,true,periodic,8658.008658008657
84,10563,28,66,5,0.2,0.95,32,false,true,periodic,8952.551477170993
51,14322,31,101,7,0.5,0.84,16,false,true,batch,5020.080321285141
45,10626,31,65,6,0.8,0.9,16,true,true,periodic,8410.428931875525
34,16933,28,103,6,0.8,0.48,8,false,true,batch,6184.291898577613
77,11406,27,93,8,0.5,0.82,32,true,true,periodic,9708.73786407767
47,17709,22,125,5,0.4,0.21,32,true,true,periodic,6191.950464396285
81,13790,27,121,4,0.5,0.19,16,false,false,batch,6578.9473684210525
115,16519,27,104,6,0.6,0.38,8,true,false,periodic,9191.176470588236
109,19524,22,52,7,0.6,0.74,8,true,false,batch,8453.085376162298
113,12212,21,126,5,0.3,0.02,32,true,true,periodic,9689.922480620155
65,16679,30,108,8,0.3,0.52,8,true,false,batch,5305.039787798409
100,12878,22,92,6,0.2,0.47,32,false,true,batch,6734.006734006734
106,17131,19,95,4,0.7,0.59,16,true,true,batch,7570.02271006813
35,18145,28,118,7,0.5,0.86,16,true,true,periodic,10060.36217303823
63,11898,25,32,5,0.6,0.43,16,false,false,periodic,10493.17943336831
96,10335,26,49,4,0.1,0.77,8,false,false,batch,6226.650062266501
92,13724,18,76,4,0.5,0.73,16,true,true,batch,3083.564600678384
123,13958,21,41,5,0.5,0.56,8,false,true,batch,6920.415224913495
63,11816,27,91,8,0.2,0.67,32,false,false,batch,3408.3162917518744
68,12847,19,106,6,0.7,0.45,16,true,false,periodic,7949.12559618442
103,15717,24,83,8,0.2,0.95,32,false,true,periodic,8071.0250201775625
81,13468,26,50,5,0.5,0.03,8,true,false,batch,6289.308176100629
69,18636,31,126,7,0.0,0.99,8,true,true,batch,6811.989100817439
69,11385,25,110,6,0.4,0.02,32,false,false,periodic,9442.870632672333
119,13813,27,56,8,0.9,0.06,16,true,true,batch,6150.0615006150065
85,10925,26,46,5,0.6,0.19,8,false,false,batch,6281.407035175879
92,14875,25,101,7,0.1,0.95,16,true,true,periodic,8576.329331046312
35,18934,31,66,6,0.9,0.06,32,true,false,periodic,8032.128514056225
88,16346,18,77,4,0.3,0.18,8,false,true,periodic,7570.02271006813
121,14765,19,92,5,0.5,0.61,8,true,false,periodic,8271.298593879239
83,16738,20,118,8,0.7,0.6,16,false,false,periodic,8726.003490401396
47,13237,19,72,8,0.9,0.79,32,true,true,batch,5189.413596263622
32,15973,32,109,6,0.7,0.05,16,false,false,periodic,8598.452278589853
86,13792,21,74,5,0.5,0.8,32,false,false,periodic,7446.016381236039
63,19758,30,61,8,0.5,0.59,32,false,false,periodic,8741.258741258742
117,11688,22,128,8,0.8,0.98,8,false,false,periodic,9633.911368015415
95,13794,24,54,8,0.2,0.3,32,true,false,batch,6605.019815059445
65,13620,25,45,4,0.1,0.58,32,false,true,batch,8532.423208191127
44,14247,30,84,5,0.5,0.56,16,true,false,batch,5875.440658049353
32,19300,28,87,6,0.9,0.41,32,false,true,batch,6743.088334457181
123,18510,25,51,5,0.7,0.99,8,false,false,batch,8417.508417508418
79,10952,31,70,7,0.4,0.08,32,true,true,periodic,7564.296520423601
60,15479,24,51,4,0.6,0.02,8,true,false,batch,6377.551020408163
110,14065,25,90,6,0.3,0.7,16,false,false,periodic,9606.147934678194
125,19759,30,125,7,0.6,0.33,8,false,true,batch,6406.149903907752
72,12878,30,90,7,1.0,0.07,16,true,true,periodic,9216.589861751152
82,11974,29,53,7,0.1,0.62,32,true,true,batch,8012.820512820513
51,13836,27,34,8,0.9,0.44,32,true,false,batch,6715.916722632639
96,18805,26,74,6,0.9,0.24,8,false,false,periodic,8389.261744966443
120,18689,32,92,7,0.4,0.74,8,true,false,periodic,9433.962264150943
112,19654,30,89,6,0.9,0.61,16,true,true,periodic,8453.085376162298
56,18712,18,33,4,0.1,0.09,16,false,true,batch,7733.952049497293
36,13392,16,114,5,0.0,0.45,16,true,true,batch,4164.931278633902
88,13029,16,97,7,0.6,0.17,32,false,false,batch,7097.232079488999
85,15221,17,87,8,0.2,0.4,32,false,false,periodic,7283.3211944646755
105,11368,19,120,8,0.8,0.15,16,true,true,batch,7022.471910112359
54,18660,18,44,4,0.2,0.68,32,true,false,periodic,9633.911368015415
79,11177,31,35,6,0.1,0.89,32,false,false,batch,5543.2372505543235
73,12638,24,109,7,0.8,0.18,16,false,false,periodic,8576.329331046312
46,10501,16,68,8,0.3,0.04,8,false,true,batch,7067.137809187279
48,11003,17,75,7,0.7,0.71,16,false,true,periodic,8110.300081103001
64,19285,25,118,5,0.3,0.25,8,true,true,batch,7770.00777000777
76,14920,28,116,8,0.1,0.34,32,true,true,periodic,8460.236886632825
41,19626,28,81,5,0.6,0.74,32,true,true,batch,8143.322475570033
36,19334,18,64,8,0.1,0.51,8,false,true,batch,6734.006734006734
108,19562,18,107,8,0.7,0.53,8,false,false,periodic,9302.32558139535
70,11373,21,97,8,0.7,0.23,8,false,false,batch,7102.272727272727
112,13573,20,73,4,0.2,0.46,32,false,false,batch,7241.129616220131
127,12725,27,90,7,0.4,0.99,32,false,true,batch,5091.6496945010185
104,11559,27,90,4,0.0,0.38,8,true,false,batch,6476.683937823835
61,19777,24,125,7,0.1,0.82,32,false,false,periodic,8163.265306122449
59,12135,17,101,5,0.8,0.5,32,false,false,batch,6523.157208088715
56,10533,18,84,8,0.3,0.78,16,true,true,batch,7220.216606498195
67,15770,21,60,4,0.2,0.39,32,true,true,batch,7230.657989877079
85,10549,28,45,8,0.6,0.55,32,true,true,batch,6153.846153846154
64,19963,31,53,4,0.2,0.79,32,false,true,periodic,9900.990099009901
103,18864,29,101,7,0.3,0.02,16,false,true,periodic,6684.491978609625
111,13859,29,53,6,0.4,0.65,8,false,true,periodic,9310.986964618249
64,18436,32,67,6,0.4,0.34,16,true,false,batch,2863.68843069874
83,13192,22,48,7,0.3,0.75,32,true,false,periodic,6752.19446320054
128,17551,30,98,7,0.6,0.6,16,false,true,batch,4277.15996578272
115,10615,25,63,8,0.7,0.77,32,true,false,periodic,4734.848484848485
98,16800,21,68,6,0.9,0.86,32,false,true,batch,4712.53534401508
83,14596,31,35,6,1.0,0.64,8,false,true,periodic,4810.00481000481
91,18449,17,65,5,0.5,0.07,32,false,true,batch,4271.678769756514
32,14350,18,92,8,0.4,0.82,8,true,true,batch,7022.471910112359
109,13859,22,66,8,0.5,0.53,8,false,true,batch,7163.323782234957
104,16779,17,61,6,0.4,0.62,16,true,true,periodic,9407.33772342427
65,14688,16,54,4,0.1,0.25,16,false,false,periodic,9551.098376313275
63,18527,30,99,5,0.4,0.94,32,false,true,batch,5162.622612287042
112,14909,32,88,6,0.1,0.3,32,false,false,batch,7380.073800738008
44,19800,19,92,4,0.9,0.16,32,true,true,batch,5858.230814294083
41,16761,17,87,5,0.8,0.48,8,true,true,batch,5208.333333333333
33,13051,23,39,6,0.4,0.47,32,true,true,batch,4498.42555105713
88,19042,20,77,6,0.4,0.82,16,true,false,batch,6756.756756756757
42,17145,30,35,5,0.8,0.14,16,false,true,periodic,7674.597083653108
37,17257,17,88,5,0.6,0.19,32,false,false,batch,4264.392324093817
106,18049,16,83,8,0.1,0.7,16,true,false,batch,3955.6962025316457
43,12891,28,119,6,0.2,0.13,16,true,false,batch,7507.507507507507
32,16799,20,125,5,0.1,0.97,32,false,false,periodic,6973.5006973500695
69,15150,17,93,8,0.2,0.9,16,false,false,batch,7610.350076103501
89,15013,24,127,4,0.6,0.23,8,false,false,batch,6844.626967830253
108,17347,22,120,6,0.8,0.14,16,true,true,batch,5599.1041433370665
68,17238,18,88,8,0.2,0.23,8,true,false,periodic,6045.949214026602
79,16051,31,44,5,0.0,0.16,16,false,false,periodic,9328.358208955224
97,15847,21,55,7,0.0,0.2,8,false,true,periodic,8658.008658008657
106,14461,27,48,8,0.4,0.05,8,true,true,batch,6361.323155216285
88,12805,19,128,7,0.8,0.22,16,true,true,periodic,8382.229673093043
58,16313,32,123,5,0.8,0.63,16,false,false,periodic,4618.937644341801
72,19742,16,50,7,0.5,0.61,32,false,false,batch,4366.812227074236
63,15105,31,32,4,0.4,0.83,8,false,true,batch,4741.58368895211
112,13299,29,108,7,0.0,0.13,16,false,true,periodic,5875.440658049353
110,19445,22,43,8,0.6,0.83,32,true,false,periodic,4430.660168365086
34,17645,16,66,8,0.6,0.68,16,true,false,periodic,3921.5686274509803
109,15254,31,32,4,0.1,0.78,8,false,false,batch,3862.4951718810353
113,15167,26,55,7,0.4,0.55,8,true,false,batch,3051.5715593530667
97,17955,27,112,6,0.9,0.95,32,false,false,batch,3049.7102775236353
70,18994,21,50,7,0.3,0.29,8,true,false,periodic,2589.3319523562923
45,12209,30,68,8,0.8,0.63,32,true,true,batch,7251.631617113851
85,10272,21,124,8,0.9,0.46,32,true,true,batch,5344.735435595938
126,13804,24,94,6,0.7,0.28,32,false,false,periodic,7961.783439490446
101,12406,21,127,8,0.6,0.79,8,true,true,batch,6451.612903225807
68,18909,17,123,7,0.1,0.49,16,false,false,batch,6265.664160401003
94,15544,30,65,7,0.5,0.91,32,false,true,periodic,9671.17988394584
108,13574,32,63,7,0.7,0.72,32,false,true,batch,6506.180871828236
83,18978,31,61,6,0.2,0.72,8,true,false,batch,6583.278472679394
82,18332,20,83,4,0.2,0.89,32,false,true,periodic,8583.690987124464
119,18417,22,37,4,0.3,0.71,16,false,true,batch,6211.180124223602
57,12657,28,63,5,0.3,0.64,16,false,true,periodic,9416.195856873823
111,19243,30,69,7,0.7,0.12,16,false,false,periodic,8944.54382826476
64,11395,27,50,5,0.2,0.18,32,false,true,batch,4118.616144975288
39,12236,30,56,7,0.5,0.54,32,true,true,periodic,8285.004142502072
95,11923,19,98,5,0.6,0.38,8,true,false,batch,6090.133982947625
118,14782,16,56,8,0.5,0.08,8,true,true,periodic,7949.12559618442
125,13397,26,70,8,0.4,0.22,16,false,true,periodic,8992.805755395684
109,14958,28,67,6,0.5,0.75,8,false,false,batch,6605.019815059445
79,16759,19,96,4,0.6,0.36,8,true,false,batch,6476.683937823835
97,18608,30,55,6,0.4,0.62,16,true,false,periodic,9090.90909090909
118,17894,30,105,7,0.4,0.96,8,false,true,batch,6472.491909385113
98,13914,29,65,7,0.6,0.68,8,true,false,batch,7352.941176470588
111,13403,24,60,7,1.0,1.0,8,true,false,periodic,8257.638315441784
124,15390,23,92,8,0.8,0.11,8,false,false,batch,6891.7987594762235
38,18162,24,79,5,0.7,0.34,16,true,true,batch,7412.898443291327
75,12451,21,68,8,0.6,0.9,32,false,false,batch,6188.118811881188
120,17980,21,52,7,0.8,0.46,8,true,false,periodic,9478.67298578199
122,16179,30,62,7,0.6,0.8,16,false,true,batch,7485.029940119761
97,19342,25,49,4,0.4,0.63,16,false,true,periodic,8896.79715302491
39,13445,25,42,6,0.3,0.47,32,false,true,periodic,8123.476848090983
54,12076,17,56,6,0.7,0.87,32,true,false,batch,6093.845216331505
